pkg_name,dataset_name,dataset_title,dataset_description,dataset_format,dataset_source,dataset_reference,dataset_has_examples,dataset_has_links
asbio,starkey,DEM data from the Starkey experimental forest in NE Oregon.,UTM northing and easting data along with 18 other environmental variables describing the Starkey experimental forest.,"NA","list(""www.fs.fed.us/pnw/starkey/data/tables/Starkey_OR_Main_Habitat_1993-1996_Data.txt\n"")","NA",FALSE,FALSE
asbio,trag,Salsify height dataset,"Heights of slasify list(""Tragapogon dubius"") at the Barton Road long term experiental site in Pocatello Idaho.","A data frame with 20 observations on the following variable. list(""\n"", ""    "", list(list(list(""height"")), list(list(""T. dubius""), "" plant height in cm"")), ""\n"", ""  "")","NA","NA",FALSE,FALSE
asbio,crab.weight,crab gill and body weight data,"Gill weight and body weight data for 12 striped shore crabs ( list(""Pachygrapsus crassipes"") ).","A data frame with 12 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""gill.wt"")), list(""Gill weight in mg"")), ""\n"", ""    "", list(list(list(""body.wt"")), list(""Body weight in grams"")), ""\n"", ""  "")","Sokal, R. R., and F. J. Rohlf  (2012) list(""Biometry, 4th edition"") .  W. H. Freeman and Co., New York.","NA",FALSE,FALSE
asbio,portneuf,Portneuf River longitudinal N and P data.,"Portneuf River data from the Siphon Road site near Pocatello Idaho, downstream from an elemental P refinery.","A data frame with 176 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""date"")), list(""Dates from 1998-01-15 to 2011-08-16"")), ""\n"", ""    "", list(list(list(""TKN"")), list(""Total Kjeldahl nitrogen (measured as a percentage)"")), ""\n"", ""    "", list(list(list(""total.P"")), list(""Total phosphorous (mg/L)"")), ""\n"", ""  "")",Idaho State Department of Environmental Quality,"NA",FALSE,FALSE
asbio,cuckoo,Tippett cuckoo egg data,Part of a dataset detailing cuckoo egg lengths found in other birds nests.  Units are millimeters,"A data frame with 16 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""TP"")), list(""Tree pipit"")), ""\n"", ""    "", list(list(list(""HS"")), list(""Hedge sparrow"")), ""\n"", ""    "", list(list(list(""RB"")), list(""Robin"")), ""\n"", ""  "")","Tippett, L. H. C. (1952) list(""The Methods of Statistics, 4th Edition"") .  Wiley.","NA",FALSE,FALSE
asbio,agrostis,Agrostis variabilis cover measurements,"Percent cover of the grass list(""Agrostis variablis"") at 25 alpine snowbank sites in the Absaroka-Bearthooth Mountains.","A data frame with 25 observations on the following 2 variables. list(""\n"", ""    "", list(list(""site""), list(""Site number"")), ""\n"", ""    "", list(list(""cover""), list(""Percent cover"")), ""\n"", ""  "")","Aho, K.  (2006) list(""Alpine and Cliff Ecosystems in the North-Central Rocky Mountains"") .  PhD dissertation, Montana State Univeristy, Bozeman, MT.","NA",FALSE,FALSE
asbio,bats,Bat forearm length as a function of bat age,"Data from northern myotis bats ( list(""Myotis septentrionalis"") ) captured in the field in Vermillion County Indiana in 2000.","The dataframe has 2 columns: list(""\n"", ""    "", list(list(""days""), list(""The age of the bats in days."")), ""\n"", ""    "", list(list(""forearm.length""), list(""The length of the forearm in millimeters."")), "" \n"", ""        "")","Krochmal, A. R., and D. W. Sparks (2007) list(""Journal of Mammalogy"") . 88(3): 649-656.","NA",FALSE,FALSE
asbio,drugs,"Contingency data for high school marijuana, alcohol, and cigarette use","Agresti (2012) incldued a three way contingency table describing cigarette, alcohol, and marijuana use of high school students in Dayton Ohio.","A data frame with 8 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""alc"")), list(""Alcohol use. A factor with levels "", list(""N""), "" "", list(""Y""), ""."")), ""\n"", ""    "", list(list(list(""cig"")), list(""Cigarette use.  A factor with levels "", list(""N""), "" "", list(""Y""), ""."")), ""\n"", ""    "", list(list(list(""mari"")), list(""Marijuana use. A factor with levels "", list(""N""), "" "", list(""Y""))), ""\n"", ""    "", list(list(list(""count"")), list(""Counts for the cross-classification."")), ""\n"", ""  "")","Agresti, A.  2012. list(""Categorical Data Analysis, 3rd edition"") .  New York.  Wiley.","NA",FALSE,FALSE
asbio,goats,Mountain goat data from Yellowstone National Park,"Mount goat ( list(""Oreomnos americanus"") ) feces data and soil nutrient data for eight different mountains in the Northern Absarokas in Yellowstone National Park.","The dataframe has 3 columns: list(""\n"", ""    "", list(list(""feces""), list(""feces concentration (Percent occurance per 0.1, m^2 plot)."")), ""\n"", ""    "", list(list(""NO3""), list(""Nitrate concentration in ppm."")), "" \n"", ""    "", list(list(""organic.matter""), list(""Organic matter concentration (LOI) as a percentage."")), "" \n"", ""        "")","Aho, K. (2012) list(""Management of introduced mountain goats in Yellowstone National Park (vegetation analysis along a mountain goat gradient).  PMIS:  105289"") .  Report prepared for USDA National Park Service. 150 Pgs.","NA",FALSE,FALSE
asbio,bombus,Bombus pollen data.,"To investigate how pollen removal varied with reproductive caste in bemblebees ( list(""Bombus"") sp.) Harder and Thompson (1989) recorded the proportion of pollen removed by thirty five bumblebee queens and twelve worker bees.","This data frame contains the following columns: list(""\n"", ""    "", list(list(""pollen""), list(""\n"", ""      A numeric vector indicating the proportion of pollen removed.\n"", ""         "")), ""\n"", ""    "", list(list(""caste""), list(""\n"", ""      A character string vector indicating whether a bee was a worker "", list(""\""W\""""), "" or a queen "", list(""\""Q\""""), "".\n"", ""         "")), ""\n"", ""    "")","Harder, L. D. and Thompson, J. D.  1989.  Evolutionary options for maximizing pollen dispersal in animal pollinated plants. list(""American Naturalist"") 133: 323-344.","NA",FALSE,FALSE
asbio,fruit,Fruit weight data from Littell et al. (2002),Valencia orange tree fruit weights are measured at harvest with respect to five irrigation treatment applied in eight blocks in a RCBD.,"A data frame with 40 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""block"")), list(""a factor describing eight blocks"")), ""\n"", ""    "", list(list(list(""irrig"")), list(""a factor with levels "", list(""basin""), "" "", list(""flood""), "" "", list(""spray""), "" "", list(""sprinkler""), "" "", list(""trickle""))), ""\n"", ""    "", list(list(list(""fruitwt"")), list(""a numeric vector"")), ""\n"", ""  "")","Littell, R. C., Stroup, W. W., and R. J. Fruend (2002) list(""SAS for linear models"") .  John Wiley and Associates.","NA",FALSE,FALSE
asbio,polyamine,Polyamine data from Hollander and  Wolfe (1999),"Polyamines are a class of organic compounds having two or more primary amino groups.  They appear to have a number of important functions including regulation of cell proliferation, cell differentiation, and cell death.  Polyamine plasma levels taken for healthy children of different ages were summarized by Hollander and Wolfe (1999).","A data frame with 25 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""age"")), list(""Child age in years (0 indicates newborn)"")), ""\n"", ""    "", list(list(list(""p.amine"")), list(""Polyamine level in blood"")), ""\n"", ""  "")","Hollander, M., and  D. A. Wolfe  (1999) list(""Nonparametric Statistical Methods"") . New York: John Wiley & Sons.","NA",FALSE,FALSE
asbio,shad,American gizzard shad data,"Hollander and Wolfe (1999) describe young of year lengths at four sites for American gizzard shad, list(""Dorosoma cepedianum"") , a fish of the herring family.","A data frame with 40 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""length"")), list(""Fish length in cm"")), ""\n"", ""    "", list(list(list(""site"")), list(""a factor with levels "", list(""I""), "" "", list(""II""), "" "", list(""III""), "" "", list(""IV""))), ""\n"", ""  "")","Hollander, M., and  D. A. Wolfe  (1999) list(""Nonparametric Statistical Methods"") . New York: John Wiley & Sons.","NA",FALSE,FALSE
asbio,veneer,Veneer data from Littell et al. (2002),"Four examples of each of five brands of a synthetic wool veneer material were subjected to a friction test, and a measure of wear was determined for each experimental unit.","A data frame with 20 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""wear"")), list(""a numeric vector"")), ""\n"", ""    "", list(list(list(""brand"")), list(""a factor with levels "", list(""ACME""), "" "", list(""AJAX""), "" "", list(""CHAMP""), "" "", list(""TUFFY""), "" "", list(""XTRA""))), ""\n"", ""  "")","Littell, R. C., Stroup, W. W., and R. J. Fruend (2002) list(""SAS for Linear Models"") .  John Wiley and Associates.","NA",FALSE,FALSE
asbio,vs,Scandinavian site by species community matrix,"Scandinavian, lichen, bryophyte, and vascular plant data from Vare et al. (1995).",A data frame with 24 observations (sites) on 44 variables (species).,"list(list(""varespec""))","Vare, H., Ohtonen, R., and J. Oksanen (1995) Effects of reindeer grazing on understory vegetation in dry Pinus sylvestris forests. list(""Journal of Vegetation Science"") 6: 523-530.",FALSE,TRUE
asbio,webs,Spider web length data,Gosline et al. (1984) applied heat to strands of spider web to determine whether the structure underlying webs was rubber-like. Data are estimated from a scatterplot in Gosline et al..,"The dataframe contains 4 columns list(""\n"", list(list(""obs""), list(""Observation number."")), ""   \n"", list(list(""relative length""), list(""Relative strand strand length after heat application."")), ""         \n"", list(list(""temp.C""), list(""Temp in degrees celsius."")), ""        \n"", list(list(""residuals""), list(""Residuals from the linear model length~temp.C."")), ""\n"", ""  "")","Gosline, J. M., Denny, M. W. and Demont, M. E. (1984). Spider silk as rubber. list(""Nature"") 309, 551-552.","NA",FALSE,FALSE
asbio,heart,Heart rate data from Milliken and Johnson (2009),A repeated measures demonstration dataset from Milliken and Johnson (1999).  Heart rate was measured for twenty four subject at four time periods following administration of a treatment.  The treatment types were two active heart drugs and a control.  One treatment was assigned to each subject. Thus each drug was administered to eight subjects.,"A data frame with 96 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""rate"")), list(""A numeric vector describing heart rate (bpm)."")), ""\n"", ""    "", list(list(list(""time"")), list(""A factor with levels "", list(""t1""), "" "", list(""t2""), "" "", list(""t3""), "" "", list(""t4""))), ""\n"", ""    "", list(list(list(""drug"")), list(""A factor with levels "", list(""AX23""), "" "", list(""BWW9""), "" "", list(""Ctrl""))), ""\n"", ""    "", list(list(list(""subject"")), list(""A factor describing which subject (in drug) that measurements were made on."")), ""\n"", ""  "")","Milliken, G. A., and D. E. Johnson (2008) list(""Analysis of Messy Data: Vol. I. Designed Experiments, 2nd edition"") . CRC.","NA",TRUE,FALSE
asbio,dO2,Dissolved levels in locations above and below a town,"Dissolved O list(list(""_2"")) readings in ppm for 15 random locations above and below a riverside community.","A data frame with 30 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""O2"")), list(""Dissolved O"", list(list(""2"")), "" levels in ppm."")), ""\n"", ""    "", list(list(list(""location"")), list(""River flow location with respect to town.  Levels are "", list(""Above""), "" "", list(""Below""), ""."")), ""\n"", ""  "")","Ott, R. L., and M. T. Longnecker  (2004) list(""A First Course in Statistical Methods"") .  Thompson.","NA",FALSE,FALSE
asbio,prostate,Prostate cancer data,Hastie et al. (2001) describe a cancer research study that attempted to associate prostate specific antigenand and a number of prognostic measures in mean with advanced prostate cancer. Data in the experiment were collected from 97 men who were about to undergo radial prostectomies.,"A data frame with 97 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""PSA"")), list(""Serum prostate-specific albumin levle (mg/ml)."")), ""\n"", ""    "", list(list(list(""vol"")), list(""Tumor volume (cc)."")), ""\n"", ""    "", list(list(list(""weight"")), list(""Prostate weight (g)."")), ""\n"", ""    "", list(list(list(""Gleason"")), list(""Pathologically determined grade of disease.  Summed scores were either 6, 7, or 8 with higher scores indicating worse prognosis."")), ""\n"", ""  "")","Kutner, M. H., Nachtsheim, C. J., Neter, J., and W. Li  (2005) list(""Applied Linear Statistical Models, 5th edition"") .  McGraw-Hill, Boston.","Hastie, T., R. Tibshirani, and J. Friedman (2009) list(""The Elements of Statistical Learning: Data Mining, Inference, and Prediction, Second Edition"") . Springer.",FALSE,FALSE
asbio,snore,Snoring and heart disease contingency data,Norton and Dunn (1985) compiled data from four family practice clinics in Toronto to quantify the association between snoring and heart disease for 2484 subjects.,"A data frame with 2484 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""snoring"")), list(""A factor with levels "", list(""every.night""), "" "", list(""nearly.ever.night""), "" "", list(""never""), "" "", list(""occasional""))), ""\n"", ""    "", list(list(list(""ord.snoring"")), list(""Agresti (21012) transformed the explanatory levels to ordinal values in his analysis of this data."")), ""\n"", ""    "", list(list(list(""disease"")), list(""Presence/absence of heart disease"")), ""\n"", ""  "")","Norton, P. G., and E. V. Dunn  (1985)  Snoring as a risk factor for disease: an epidemiological survey. list(""British Medical Journal"") 291: 630-632.","NA",FALSE,FALSE
asbio,cliff.sp,Yellowstone NP cliff community data,A subset of a dataset collected by Aho (2006) which describes  the distribution of communities of lichens and vascular and avascular plant species on montane cliffs in Northeast Yellowstone National Park.  Of particular interest was whether substrate (limestone or andesitic conglomerate) or water supply influenced community composition.,"NA","Aho, K.(2006) list(""Alpine Ecology and Subalpine Cliff Ecology in the Northern Rocky \n"", ""Mountains"") .  Doctoral dissertation, Montana State University, 458 pgs.","NA",FALSE,FALSE
asbio,sedum.ts,CO2 exchange time series data,"Gurevitch et al. (1986) demonstrated time series analysis with data describing change in CO list(list(""_2"")) concentration of airstreams passing over a list(""Sedum wrightii"") test plant.","A data frame with 24 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""exchange"")), list(""CO"", list(list(""_2"")), "" exchange, measured as: [change in CO"", list(list(""_2"")), "" concentration (g/mg)]/ plant fresh mass (g).  Thus units are 1/mg.  \n"", ""    Positive values indicate net CO"", list(list(""_2"")), "" uptake while negative values indicate net CO2 output. "")), ""\n"", ""    "", list(list(list(""time"")), list(""A numeric vector indicating two hour intervals"")), ""\n"", ""    "", list(list(list(""treatment"")), list(list(""Dry""), "" = water withheld for several week, "", 
    list(""Wet""), "" = plant well watered."")), ""\n"", ""  "")","Gurevitch, J. and S. T. Chester, Jr  (1986)  Analysis of repeated measures experiments. list(""Ecology"") 67(1): 251-255.","NA",FALSE,FALSE
asbio,PCB,PCBs and herring egg thickness,"Thirteen sites in the Great Lakes were selected for a study to quantify PCB concentrations in 1982 and 1996 (Hughes et al. 1998).  At each site 9-13 American herring gull ( list(""Larus smithsonianus"") ) eggs were randomly collected and tested for PCB content.","A data frame with 26 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""nest"")), list(""Nest number"")), ""\n"", ""    "", list(list(list(""level"")), list(""PCB levels microgram/gram of dry weight"")), ""\n"", ""    "", list(list(list(""year"")), list(""a numeric vector"")), ""\n"")","Ott, R. L., and M. T. Longnecker  (2004) list(""A First Course in Statistical Methods"") .  Thompson.","Hughes, K. D., Weselogh, D. V., and B. M. Braune (1998) The ratio of DDE to PCB concentrations in Great Lakes herring gull eggs and its use in interpreting contaminants data. list(""Journal of Great Lakes Research"") 24(1): 12-31.",FALSE,FALSE
asbio,SM.temp.moist,Alpine soil temperature and moisture time series,"Soil temperature and water availabilty from Mt. Washburn in Yellowstone National Park.  Data were taken at depth of 5cm from a late snowmelt site at UTM 4960736.977	544792.225 zone 12T NAD 83, elevation 3070m.","A data frame with 30 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""year"")), list(""A numeric vector describing year."")), ""\n"", ""    "", list(list(list(""day"")), list(""The \""day of year\"", whereby Jan 1 = day 1 and Dec 32 = day 365 (366 for leap years)."")), ""\n"", ""    "", list(list(list(""Temp_C"")), list(""Temperature in degrees celsius."")), ""\n"", ""    "", list(list(list(""Moisture"")), list(""Soil water availability sensor reading.  A reading of 35 is approximately equal to -1.5 MPa."")), ""\n"", ""  "")","Aho, K. (2006) list(""Alpine Ecology and Subalpine Cliff Ecology in the Northern Rocky \n"", ""Mountains"") .  Doctoral dissertation, Montana State University, 458 pgs.","NA",FALSE,FALSE
asbio,aids,Aids and veterans dataset,The veterans administration studied the effect of AZT on AIDS symptoms for 338 HIV-positive military veterans who were just begining to express AIDS.  AZT treatment was withheld on a random component until helper T cells showed even greater depletion while the other group received the drug immediately.  The subjects were also classified by race.,"A data frame with 338 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""race"")), list(""A factor with levels "", list(""black""), "", "", list(""white""), ""."")), ""\n"", ""    "", list(list(list(""AZT"")), list(""A factor with levels "", list(""N""), "", "", list(""Y""), ""."")), ""\n"", ""    "", list(list(list(""symptoms"")), list(""Presence/absence of AIDS symptoms."")), ""\n"", ""  "")","Agresti, A. (2012) list(""Categorical Data Analysis, 3rd edition"") .  New York.  Wiley.","NA",FALSE,FALSE
asbio,anolis,Anolis lizard contingency table data,"Schoener (1968) examined the resource partitioning of anolis lizards on the Caribbean island of South Bimini. He cross-classified lizard counts in habitats (branches in trees) with respect to three variables: lizard species list(list(""A. sargei""), "" and "", list(""A. distichus"")) , branch height list(""high and low"") , and branch size list(""small and large"") .","A data frame with 8 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""height"")), list(""Brach height.  A factor with levels "", list(""H""), "", "", list(""L""), ""."")), ""\n"", ""    "", list(list(list(""size"")), list(""Brach size.  A factor with levels "", list(""L""), "", "", list(""S""), ""."")), ""\n"", ""    "", list(list(list(""species"")), list(""Anolis species. A factor with levels "", list(""distichus""), "", "", list(""sagrei""), ""."")), ""\n"", ""    "", list(list(list(""count"")), list(""Count at the cross classification."")), ""\n"", ""  "")","Schoener, T. W.  (1968)  The Anolis lizards of Bimini: resource partitioning in a complex fauna. list(""Ecology"") 49(4): 704-726.","NA",FALSE,FALSE
asbio,beetle,Wood boring beetle data.,"Saint Germain et al. (2007) modeled the presence absence of a saprophytic wood boring beetle ( list(""Anthophylax attenuatus"") ) as a function of the wood density of twenty-four decaying aspen trees ( list(""Populus tremuloides"") ) in Western Quebec Canada.","A data frame with 24 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""Snag"")), list(""Snag identifier"")), ""\n"", ""    "", list(list(list(""Yrs.since.death"")), list(""The number of years since death, determined using dendrochronological methods."")), ""\n"", ""    "", list(list(list(""Wood.density"")), list(""The density of the decaying wood (dry weight/volume) in units of g cm"", list(list(""-3"")), ""."")), ""\n"", ""    "", list(list(list(""ANAT"")), list(""Beetle presence/absence (1/0)"")), ""\n"", ""  "")","Saint-Germain, M., Drapeau, P., and C. Buddle  (2007)  Occurrence patterns of aspen- feeding wood-borers (Coleoptera: Cerambycidae) along the wood decay gradient: active selection for specific host types or neutral mechanisms? list(""Ecological Entomology"") 32: 712-721.","NA",FALSE,FALSE
asbio,bone,Bone development data,"Neter et al. (1996) described an experiment in which researchers investigated the confounding effect of gender and bone development on growth hormone therapy for prepubescent children.  Gender had two levels: ""M"" and ""F"". The bone development factor had three levels indicating the severity of growth impediment before therapy: 1 = severely depressed, 2 = moderately depressed, and 3 = mildly depressed. At the start of the experiment 3 children were assigned to each of the six treatment combinations. However 4 of the children were unable to complete the experiment, resulting in an unbalanced design.","A data frame with 14 observations on the following 3 variables. list(""\n"", ""    "", list(list(list(""gender"")), list(""A factor with levels "", list(""F""), "" "", list(""M""))), ""\n"", ""    "", list(list(list(""devel"")), list(""A factor with levels "", list(""1""), "" "", list(""2""), "" "", list(""3""))), ""\n"", ""    "", list(list(list(""growth"")), list(""A numeric vector descibing the growth difference before and after hormone therapy"")), ""\n"", ""  "")","Neter, J., Kutner, M. H., Nachtsheim, C. J., and Wasserman, W  (1996) list(""Applied Linear Statistical Models"") .  McGraw-Hill, Boston MA, USA.","NA",FALSE,FALSE
asbio,caribou,Caribou count data,"Stratified random sampling was used to estimate the size of the Nelchina herd of Alaskan caribou ( list(""Rangifer tarandus"") ) in February 1962 (Siniff and Skoog 1964). The total population of sample units (for which responses would be counts of caribou) consisted of 699 four mile list(list(""^2"")) areas.  This population was divided into six strata, and each of these was randomly sampled.","A data frame with 6 observations on the following 5 variables. list(""\n"", ""    "", list(list(list(""stratum"")), list(""Strata; a factor with levels "", list(""A""), "" "", list(""B""), "" "", list(""C""), "" "", list(""D""), "" "", list(""E""), "" "", list(""F""))), ""\n"", ""    "", list(list(list(""N.h"")), list(""Strata population size"")), ""\n"", ""    "", list(list(list(""n.h"")), list(""Strata sample size"")), ""\n"", ""    "", list(list(list(""x.bar.h"")), list(""Strata means"")), ""\n"", ""    "", list(list(list(""var.h"")), list(""Strata variances"")), ""\n"", ""  "")","Siniff, D. B., and R. O. Skoog (1964)  Aerial censusing of caribou using stratified random sampling. list(""Journal of Wildlife Management"") 28: 391-401.","NA",FALSE,FALSE
asbio,corn,Corn yield data,Hoshmand (2006) described a split plot design to test grain yield of corn with respect to corn hybrids (split plots) and nitrogen (in whole plots).  The experiment was replicated at two blocks.,"A data frame with 40 observations on the following 4 variables. list(""\n"", ""    "", list(list(list(""yield"")), list(""Corn yield in bushels per acre."")), ""\n"", ""    "", list(list(list(""hybrid"")), list(""Type of hybrid, P = pioneer, levels were: "", list(""A632xLH38""), "" "", list(""LH74xLH51""), "" "", list(""Mo17xA634""), "" "", list(""P3732""), "" "", list(""P3747""), ""."")), ""\n"", ""    "", list(list(list(""N"")), list(""Nitrogen addition in lbs/acre "", list(""0""), "" "", list(""70""), "" "", list(""140""), "" "", list(""210""), ""."")), ""\n"", ""    "", list(list(list(""block"")), list(""A blocking factor with levels "", 
    list(""1""), "" "", list(""2""), ""."")), ""\n"", ""  "")","Hoshmand, A. R.  (2006) list(""Design of Experiments for Agriculture and the Natural Sciences 2nd Edition"") .  Chapman and Hall.","NA",FALSE,FALSE
ASMap,mapDHf,An unconstructed marker set for a doubled haploid wheat population,An unconstructed marker set for a doubled haploid wheat population in the form of a constructed R/qtl object.,"This data is the unconstructed version of list(list(""mapDH"")) and consists of 599 markers genotyped on 218 individuals. 584 markers are from the orignal map with an additonal 12 co-located markers and 3 slightly distorted markers. The data is in a list(""data.frame"") format with genotypes in columns and randomly assorted markers in rows. See list(list(""mstmap.data.frame"")) documentation for more details on the format of this object.","NA","NA",TRUE,TRUE
ASMap,mapBCu,An unconstructed marker set for a backcross barley population,An unconstructed marker set for a backcross barley population in the form of an R/qtl object.,"This data relates to an unconstructed version of list(list(""mapBC"")) and consists of 3023 markers genotyped on 326 individuals with markers randomly assorted on one large linkage group. The data is in R/qtl format with a class structure list(""c(\""bc\"",\""cross\"")"") . See list(""read.cross()"") documentation for more details on the format of this object. This data set forms the basis of the worked example in Chapter 3 of the vignette (see vignette(""ASMap"") for complete details","NA","NA",TRUE,TRUE
ASMap,mapBC,A constructed linkage map for a backcross barley population,A constructed linkage map for a backcross barley population in the form of a constructed R/qtl object.,"This data relates to a fully constructed linkage map of 3019 markers genotyped on 300 individuals spanning the 7 linkage groups of the barley genome. The map was constructed using the MSTmap algorithm integrated in list(list(""mstmap.cross"")) with geentic distances estimated using the list(""\""kosambi\"""") mapping function. The data is in R/qtl format with a class structure list(""c(\""bc\"",\""cross\"")"") . See list(""read.cross()"") documentation for more details on the format of this object.","NA","NA",TRUE,TRUE
ASMap,mapDH,A constructed linkage map for a doubled haploid wheat population,A constructed linkage map for a doubled haploid wheat population in the form of a constructed R/qtl object.,"This data relates to a fully constructed linkage map of 599 markers genotyped on 218 individuals. The linkage map consists of 23 linkage groups spanning the whole genome. 584 markers are from the orignal map with an additonal 12 co-located markers and 3 slightly distorted markers. The map was constructed using the MSTmap algorithm integrated in list(list(""mstmap.cross"")) with geentic distances estimated using the list(""\""kosambi\"""") mapping function. The data is in R/qtl format with a class structure list(""c(\""bc\"",\""cross\"")"") . See list(""read.cross"") documentation for more details on the format of this object.","NA","NA",TRUE,TRUE
ASMap,mapF2,Simulated constructed linkage map for a self pollinated F2 barley population,Simulated constructed linkage map for a self pollinated F2 barley population in the form of an R/qtl object.,"This data relates to a fully constructed linkage map of 700 simulated markers genotyped on 250 individuals. The map consists of 7 linkage groups, each contaning 100 markers spanning an approximate linkage group length of 200cM. The map was constructed using list(list(""mstmap.cross"")) from the list(""ASMap"") package and map distances were estimated using the list(""\""kosambi\"""") mapping function. The data is in R/qtl format with a class structure list(""c(\""bcsft\"",\""cross\"")"") .","NA","NA",TRUE,TRUE
ASMap,ASMap-package,Additional functions for linkage map construction and manipulation of R/qtl objects.,"Additional functions for linkage map construction and manipulation of R/qtl objects. This includes extremely fast linkage map clustering and marker ordering using MSTmap (see Wu et al., 2008).","NA","NA","Y. Wu, P. Bhat, T.J. Close, S. Lonardi, Efficient and Accurate Construction of Genetic Linkage Maps from Minimum Spanning Tree of a Graph Plos Genetics, Volume 4, Issue 10, 2008.",FALSE,TRUE
asnipe,times,Observation Time for each Flock Contained in the Group by Individual data,The start time for each flock in the group by individual data since the first flock observed.,An integer array with the time (in seconds since the first flock of the day).,"Farine, D.R., Garroway, C.J., Sheldon, B.C. (2012) Social Network Analysis of mixed-species flocks: exploring the structure and evolution of interspecific social behaviour. Animal Behaviour 84: 1271-1277.","NA",TRUE,FALSE
asnipe,identified_individuals,Raw Observation Data of Individual Birds Feeding at Flocks,"Contains the raw observation data, of which the first day was used to form the group by individual file. IDs correspond to TAG in the ""individuals"" data (note that some tags are error codes, which have not been removed, and thus do not occur in the individuals data).","Data frame containing 4 columns: Date - The observation day (1 to 8, where days 1-2 are the first weekend, 3-4 the second weekend, etc..) Time - The time in seconds since the very first observation ID - The PIT tag code of the individual Location - The location where the detection was made (1B, 1C, 1D, 1E)","Farine, D.R., Garroway, C.J., Sheldon, B.C. (2012) Social Network Analysis of mixed-species flocks: exploring the structure and evolution of interspecific social behaviour. Animal Behaviour 84: 1271-1277.","NA",TRUE,FALSE
asnipe,inds,Data on the Individual Birds Contained in the Group by Individual data,"Information about the PIT tag number, ring number, species, and sex (where available) for each individual in the group by individual data. Each row represents one column in the group by individual file, and the order is maintained.","Data frame containing: TAG - A 10 character hexadecimal code unique to each individual RING.NUMBER - A 7 character unique ring (or band) number for each individual SPECIES - Each species, where BLUTI=blue tit, COATI=coal tit, GRETI=great tit, MARTI=marsh tit, and NUTHA=nuthatch","Farine, D.R., Garroway, C.J., Sheldon, B.C. (2012) Social Network Analysis of mixed-species flocks: exploring the structure and evolution of interspecific social behaviour. Animal Behaviour 84: 1271-1277.","NA",TRUE,FALSE
asnipe,gbi,Detections of Individuals Forming Flocks at Bird Feeders,"Dataset consisting of 151 individuals of 5 passerine species in Wytham Woods, UK: 78 blue tits (Cyanistes caeruleus), 7 coal tits (Periparus ater), 51 great tits (Parus major), 11 marsh tits (Poecile palustris), 3 nuthatches (Sitta europaea) and 1 individual of unknown species. Individuals were all fitted with individually-encoded passive integrated transponder (PIT) tags  that were logged by radio frequency identification (RFID) antennae fitted to each hole on regular sunflower feeders (we used unhusked sunflower seed). Data were collected from 4 feeders spaced approximately 300m over the course of one day. Feeders logged the presence of individuals at a sub-second resolution, and detections were assigned to flocks using a machine learning algorithm (a Gaussian Mixture Model).","Data are formatted in a group by individual matrix. Each row represents one flock, each column represents one individual.","Farine, D.R., Garroway, C.J., Sheldon, B.C. (2012) Social Network Analysis of mixed-species flocks: exploring the structure and evolution of interspecific social behaviour. Animal Behaviour 84: 1271-1277.","NA",TRUE,FALSE
aspace,wts,Weights vector,This is a single column vector for weighting the importance of point locations.,A single column vector of numeric values.,This demonstration data has been manufactured for illustrative purposes only.,"NA",TRUE,FALSE
aspace,activities,Demo Data: x and y coordinates of 10 specified point locations,"This is a simple two-column data frame (or matrix) containing x,y coordinates for a series of point locations. These data mimic UTM coordinates such that the first column contains Easting (x), and the second Northing (y) coordinates for the set of unique points.","A data frame with 10 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""col1"")), list(""A numeric vector of x-coordinates"")), ""\n"", ""    "", list(list(list(""col2"")), list(""A numeric vector of y-coordinates"")), ""\n"", ""  "")",This demonstration data has been manufactured for illustrative purposes only.,"NA",TRUE,FALSE
aspace,activities2,Demo Data: x and y coordinates of 10 specified point locations,"This is a simple two-column data frame (or matrix) containing x,y coordinates for a series of point locations. These data mimic UTM coordinates such that the first column contains Easting (x), and the second Northing (y) coordinates for the set of unique points.","A data frame with 10 observations on the following 2 variables. list(""\n"", ""    "", list(list(list(""col1"")), list(""A numeric vector of x-coordinates"")), ""\n"", ""    "", list(list(list(""col2"")), list(""A numeric vector of y-coordinates"")), ""\n"", ""  "")",This demonstration data has been manufactured for illustrative purposes only.,"NA",TRUE,FALSE
